PC  Teal                                                            Stack
1
10  byte ""                                                         0x
12  callsub test_self_ref_phi                                       0x
129 proto 0 1                                                       0x
225 int 1                                                           1, 2, 7, 9, 1, 2, 1, 9, 1
226 -                                                               1, 2, 7, 9, 1, 2, 1, 8
227 frame_bury -1                                                   1, 2, 7, 8, 1, 2, 1
229 frame_dig 1                                                     1, 2, 7, 8, 1, 2, 1, 2
231 frame_bury 0                                                    1, 2, 7, 8, 2, 2, 1
233 frame_bury 1                                                    1, 2, 7, 8, 2, 1
235 b test_swap_loop_while_top@3                                    1, 2, 7, 8, 2, 1
214 frame_dig 0                                                     1, 2, 7, 8, 2, 1, 2
216 frame_dig -1                                                    1, 2, 7, 8, 2, 1, 2, 8
218 int 0                                                           1, 2, 7, 8, 2, 1, 2, 8, 0
219 >                                                               1, 2, 7, 8, 2, 1, 2, 1
220 bz test_swap_loop_after_while@5                                 1, 2, 7, 8, 2, 1, 2
223 frame_dig -1                                                    1, 2, 7, 8, 2, 1, 2, 8
225 int 1                                                           1, 2, 7, 8, 2, 1, 2, 8, 1
226 -                                                               1, 2, 7, 8, 2, 1, 2, 7
227 frame_bury -1                                                   1, 2, 7, 7, 2, 1, 2
229 frame_dig 1                                                     1, 2, 7, 7, 2, 1, 2, 1
231 frame_bury 0                                                    1, 2, 7, 7, 1, 1, 2
233 frame_bury 1                                                    1, 2, 7, 7, 1, 2
235 b test_swap_loop_while_top@3                                    1, 2, 7, 7, 1, 2
214 frame_dig 0                                                     1, 2, 7, 7, 1, 2, 1
216 frame_dig -1                                                    1, 2, 7, 7, 1, 2, 1, 7
218 int 0                                                           1, 2, 7, 7, 1, 2, 1, 7, 0
219 >                                                               1, 2, 7, 7, 1, 2, 1, 1
220 bz test_swap_loop_after_while@5                                 1, 2, 7, 7, 1, 2, 1
223 frame_dig -1                                                    1, 2, 7, 7, 1, 2, 1, 7
225 int 1                                                           1, 2, 7, 7, 1, 2, 1, 7, 1
226 -                                                               1, 2, 7, 7, 1, 2, 1, 6
227 frame_bury -1                                                   1, 2, 7, 6, 1, 2, 1
229 frame_dig 1                                                     1, 2, 7, 6, 1, 2, 1, 2
231 frame_bury 0                                                    1, 2, 7, 6, 2, 2, 1
233 frame_bury 1                                                    1, 2, 7, 6, 2, 1
235 b test_swap_loop_while_top@3                                    1, 2, 7, 6, 2, 1
214 frame_dig 0                                                     1, 2, 7, 6, 2, 1, 2
216 frame_dig -1                                                    1, 2, 7, 6, 2, 1, 2, 6
218 int 0                                                           1, 2, 7, 6, 2, 1, 2, 6, 0
219 >                                                               1, 2, 7, 6, 2, 1, 2, 1
220 bz test_swap_loop_after_while@5                                 1, 2, 7, 6, 2, 1, 2
223 frame_dig -1                                                    1, 2, 7, 6, 2, 1, 2, 6
225 int 1                                                           1, 2, 7, 6, 2, 1, 2, 6, 1
226 -                                                               1, 2, 7, 6, 2, 1, 2, 5
227 frame_bury -1                                                   1, 2, 7, 5, 2, 1, 2
229 frame_dig 1                                                     1, 2, 7, 5, 2, 1, 2, 1
231 frame_bury 0                                                    1, 2, 7, 5, 1, 1, 2
233 frame_bury 1                                                    1, 2, 7, 5, 1, 2
235 b test_swap_loop_while_top@3                                    1, 2, 7, 5, 1, 2
214 frame_dig 0                                                     1, 2, 7, 5, 1, 2, 1
216 frame_dig -1                                                    1, 2, 7, 5, 1, 2, 1, 5
218 int 0                                                           1, 2, 7, 5, 1, 2, 1, 5, 0
219 >                                                               1, 2, 7, 5, 1, 2, 1, 1
220 bz test_swap_loop_after_while@5                                 1, 2, 7, 5, 1, 2, 1
223 frame_dig -1                                                    1, 2, 7, 5, 1, 2, 1, 5
225 int 1                                                           1, 2, 7, 5, 1, 2, 1, 5, 1
226 -                                                               1, 2, 7, 5, 1, 2, 1, 4
227 frame_bury -1                                                   1, 2, 7, 4, 1, 2, 1
229 frame_dig 1                                                     1, 2, 7, 4, 1, 2, 1, 2
231 frame_bury 0                                                    1, 2, 7, 4, 2, 2, 1
233 frame_bury 1                                                    1, 2, 7, 4, 2, 1
235 b test_swap_loop_while_top@3                                    1, 2, 7, 4, 2, 1
214 frame_dig 0                                                     1, 2, 7, 4, 2, 1, 2
216 frame_dig -1                                                    1, 2, 7, 4, 2, 1, 2, 4
218 int 0                                                           1, 2, 7, 4, 2, 1, 2, 4, 0
219 >                                                               1, 2, 7, 4, 2, 1, 2, 1
