PC  Teal                                                            Stack
1   #pragma version 8
250 b test_swap_loop_while_top@3                                    1, 7, 11, 2, 1, 7, 10
229 frame_dig 0                                                     1, 7, 11, 2, 1, 7, 10, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 10, 2, 10
233 int 0                                                           1, 7, 11, 2, 1, 7, 10, 2, 10, 0
234 >                                                               1, 7, 11, 2, 1, 7, 10, 2, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 7, 10, 2
238 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 10, 2, 10
240 int 1                                                           1, 7, 11, 2, 1, 7, 10, 2, 10, 1
241 -                                                               1, 7, 11, 2, 1, 7, 10, 2, 9
242 frame_bury 3                                                    1, 7, 11, 2, 1, 7, 9, 2
244 frame_dig 1                                                     1, 7, 11, 2, 1, 7, 9, 2, 1
246 frame_bury 0                                                    1, 7, 11, 1, 1, 7, 9, 2
248 frame_bury 1                                                    1, 7, 11, 1, 2, 7, 9
250 b test_swap_loop_while_top@3                                    1, 7, 11, 1, 2, 7, 9
229 frame_dig 0                                                     1, 7, 11, 1, 2, 7, 9, 1
231 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 9, 1, 9
233 int 0                                                           1, 7, 11, 1, 2, 7, 9, 1, 9, 0
234 >                                                               1, 7, 11, 1, 2, 7, 9, 1, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 1, 2, 7, 9, 1
238 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 9, 1, 9
240 int 1                                                           1, 7, 11, 1, 2, 7, 9, 1, 9, 1
241 -                                                               1, 7, 11, 1, 2, 7, 9, 1, 8
242 frame_bury 3                                                    1, 7, 11, 1, 2, 7, 8, 1
244 frame_dig 1                                                     1, 7, 11, 1, 2, 7, 8, 1, 2
246 frame_bury 0                                                    1, 7, 11, 2, 2, 7, 8, 1
248 frame_bury 1                                                    1, 7, 11, 2, 1, 7, 8
250 b test_swap_loop_while_top@3                                    1, 7, 11, 2, 1, 7, 8
229 frame_dig 0                                                     1, 7, 11, 2, 1, 7, 8, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 8, 2, 8
233 int 0                                                           1, 7, 11, 2, 1, 7, 8, 2, 8, 0
234 >                                                               1, 7, 11, 2, 1, 7, 8, 2, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 7, 8, 2
238 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 8, 2, 8
240 int 1                                                           1, 7, 11, 2, 1, 7, 8, 2, 8, 1
241 -                                                               1, 7, 11, 2, 1, 7, 8, 2, 7
242 frame_bury 3                                                    1, 7, 11, 2, 1, 7, 7, 2
244 frame_dig 1                                                     1, 7, 11, 2, 1, 7, 7, 2, 1
246 frame_bury 0                                                    1, 7, 11, 1, 1, 7, 7, 2
248 frame_bury 1                                                    1, 7, 11, 1, 2, 7, 7
250 b test_swap_loop_while_top@3                                    1, 7, 11, 1, 2, 7, 7
